"mz","Intensity"
429.2027,12.64
430.2148,21
434.2259,77
440.242,41.64
452.2648,46
455.227,25.08
458.2523,20.15
469.3033,48
473.2406,44.08
491.244,517
492.2418,52.71
497.3085,137
500.2421,20.07
509.2936,21.08
511.3283,38.23
515.2742,29
523.2916,25
533.2692,26.08
539.347,28
541.2968,54.31
550.5594,33
553.2704,21.15
554.3118,25.15
565.356,26.47
586.3166,34
594.3333,25.07
604.329,450
605.3337,42
610.3914,152
612.3484,21
642.3466,25.07
667.4071,24
671.3216,22
699.3826,24.07
702.3262,26.08
713.3241,19.42
715.431,21.16
717.4161,440.1
720.3646,13.5
731.3834,16
739.3524,21.08
747.4048,15.42
752.4093,31.3
782.4371,16
788.4465,496
789.4409,29
815.4213,24.07
829.3916,20.07
841.4956,16
850.3806,21.08
859.485,320
873.3976,24.07
888.4507,24
912.5195,21
914.4762,13.15
916.4745,13.08
927.555,29.47
928.5005,11.95
930.5097,34.31
930.5257,803
931.5251,82
936.4708,12.07
954.5161,21
1029.6178,12
1082.6023,67.83
1128.4978,8
1464.6942,17.62
1511.6863,18.55
1519.7996,20.14
1569.8555,30.62
1571.2468,8
128.104,5
157.109,7
171.1085,4.538
173.1289,9
175.1171,14
201.1255,7
210.0355,5.018
222.1288,4.269
231.0858,6.548
249.0925,5
258.1195,4.305
259.0736,6.018
273.1324,6
276.102,9
290.146,8
313.1546,4.018
330.1551,7
366.1632,4.036
385.1564,4.036
387.1582,11
391.157,4.287
404.1929,22
421.7092,6
440.1765,6.368
445.1933,8.297
453.7134,19.28
455.2111,6.018
459.1948,6.287
472.2285,6.018
474.1813,4.368
476.2143,9.315
486.2093,9.018
487.2282,2.571
491.1939,5.379
495.729,6
501.2195,6.386
502.6173,4.386
503.2376,4.538
504.2341,29
517.2714,20.27
527.2702,5.269
533.2842,5.269
536.2468,2.559
539.2584,4.287
553.2889,7
556.193,5.279
590.3198,5.269
597.2705,6
614.2843,11.02
631.3136,37
645.2827,5.018
647.3417,11
703.3326,10.28
718.3586,5
723.3326,5.018
724.3355,7.548
740.3396,4.279
741.3618,7
742.3441,29
745.2424,5
753.2845,5.279
757.3593,7.269
759.3717,74
760.3771,5.018
769.3588,5
770.3469,5
779.2859,5
787.3652,4.287
805.4312,7
817.3994,5.548
825.3748,5
829.3752,4.287
833.3999,7
842.4133,31
871.3792,8
888.4107,4
889.3774,8
899.4708,4.655
906.4086,46
907.43,4
907.4462,5.036
915.4478,5.386
917.3707,5
922.4489,3.018
925.4288,11.27
925.4507,6.279
926.4269,1.901
934.408,5.018
935.4302,2.065
943.4532,10
950.4715,3.269
952.541,5.054
953.4249,7
989.4365,6
994.444,3.543
999.4875,7.386
1007.4664,15.27
1018.4186,4
1024.5204,11.37
1042.5201,13.56
1062.4265,7.906
1070.5675,7.566
1088.5194,30.02
1639.7883,4.269
1682.0234,4.807
2225.8325,3.382
129.0864,4.018
147.0991,5.269
158.091,6
169.1,10.07
186.0901,10
197.0918,9
214.1186,39.02
239.1429,5.018
240.1322,6
255.1037,10
257.1572,9.807
258.1429,10
275.1685,9
284.1362,5
285.155,30.27
309.1604,6
327.1696,18
329.1777,5.072
337.1492,15.02
347.1903,4.269
354.1698,11
372.1924,13.02
404.224,6
425.2419,4.269
441.1912,6.269
450.2396,5.305
459.2648,5.269
461.2262,16.32
467.2569,7.279
468.2309,7.279
485.2783,8.538
503.2409,4.036
524.2554,4.018
531.2413,4
546.3044,4
548.2634,48
574.2999,4.269
586.3293,6
616.3196,6
645.3404,5.018
646.2858,5.018
649.3141,78
650.3028,7
679.2413,9
744.3644,4
750.3193,3
762.4012,51
763.4068,3
773.4027,3.018
774.3877,5
778.3102,10.02
814.3976,3.269
830.4252,3.269
832.3743,4
842.3702,3
849.4231,73.09
850.4255,4.807
858.4026,4
876.4438,3.018
888.3918,4
897.3761,5
902.4752,4
917.4853,3.018
920.4634,109
921.4716,15
974.4229,6.637
987.4634,8
997.3818,4.368
1016.4897,3.018
1017.4899,6
1034.5139,23.27
1043.5232,4.287
1045.4938,5
1098.5399,6.638
1115.5835,40.27
1134.5592,32.09
1717.824,2.148
2148.0366,4.287
2272.262,3.655
101.0702,17
112.0872,13
120.0799,12.28
129.0647,14
129.0992,17.33
136.0735,12.37
140.082,12
141.065,20
157.1159,15.56
158.0931,26
159.0768,15
168.0765,66.39
169.063,21
175.1183,53.56
185.1367,20
186.0882,39.38
187.0713,23
187.1304,12
201.1245,23.64
215.1099,18
223.1359,18.57
226.1195,14.28
228.1301,17
229.1147,14
240.1353,108
246.1354,13.27
256.1357,12.02
257.155,13.27
266.1528,13
267.1439,54
268.13,130
271.1746,15
284.1821,28
285.1549,134
288.2009,29.3
294.1498,12.27
302.0989,62
328.1939,24.27
337.1501,74.02
341.1405,22.81
343.1631,17.35
345.2254,95.29
355.1933,20.27
381.1588,17.29
382.1734,96
383.1566,227
384.1577,16
385.2047,17.27
387.1924,20
389.1715,18.57
400.1878,29
401.1733,30
408.1928,21
409.1809,16.3
415.189,16
425.2128,22
426.2148,34.02
437.2269,17.29
442.243,67
453.2079,21
454.1931,101.3
459.2679,249
464.1971,19.37
464.7476,32.43
470.2447,16.02
471.2172,29.27
475.2563,29.54
479.217,16.58
505.2124,24.54
523.2283,18
537.2734,22.54
539.2586,26.31
543.2676,22.11
551.2056,50
555.3199,36.02
556.2939,16.23
568.2327,62
569.2195,94
572.3508,435.3
578.9593,21
579.6259,33.02
582.3364,24.54
588.3431,23.02
619.3443,19.28
653.3276,22.29
660.3218,18.3
670.353,55.04
674.3666,24.28
682.3013,37.54
685.2527,18
687.3802,492.3
697.3583,21.37
699.3351,19.02
703.3677,22.27
704.3376,12.36
710.3032,46.59
712.3537,18.56
732.3722,16.05
740.3982,19
741.3851,28.04
748.3916,15.57
758.4135,456
768.3954,23
772.3961,15.27
775.4064,45.74
781.3873,16.31
796.3577,22.29
809.3777,63
831.4247,26
837.3987,31.02
838.3962,15.89
843.4094,20
852.3832,21
853.3657,33.27
855.4329,68.28
856.4294,25.55
858.4073,15.68
873.4429,690
883.4306,35
897.4428,9.269
915.4606,11.02
921.4427,9.315
923.4248,9.269
925.457,16.29
926.473,9.305
928.4927,48
930.4815,20
937.4597,18.02
938.4617,7.737
942.4771,14.37
945.4898,14
948.4363,10.29
955.4872,17
958.5062,13.82
965.4752,23
968.3754,11.17
972.5072,185
983.4838,12
987.5374,15.39
992.5255,9.648
1012.5074,9
1027.5145,9.269
1029.5311,127
1030.535,24
1039.5068,10.29
1043.4697,11.3
1102.5304,4.269
1106.5597,4.269
1117.4952,3.269
1119.5863,5.269
1121.5762,43.07
1122.5481,32.95
1139.5815,703
1140.558,4
1149.5186,11
1153.9149,24.57
1156.5144,3.269
1160.4823,3.269
1165.5358,4
1167.5637,19.09
1178.5861,4.269
1185.5903,6.018
1191.6401,3.269
1317.5682,3
1326.7045,2
1328.5671,2.269
1336.6459,3.018
1352.4652,2
1426.7166,2
1448.6271,2
1491.6953,2
1506.7384,25.04
116.0695,31
129.1034,31
143.0879,58
161.0861,45
189.0861,45
207.1139,34.5
242.1282,25.72
258.1239,81
275.1689,51
325.1686,19.61
363.198,19.61
385.1827,24
388.2535,40.64
421.1901,24
428.1758,19.61
445.2715,108
452.226,31
477.1964,19.61
505.2566,25.23
524.2605,18.11
547.1954,37
558.3524,51
563.2711,19
591.2895,25
641.2769,18.11
661.246,19.61
