"mz","Intensity"
780.4178,2.018
931.5864,6
2391.9705,12.05
130.0906,12.86
185.1026,18.05
197.1133,28
215.129,12.81
225.099,18.86
229.1293,12.81
244.1489,15.05
249.1153,12.81
252.0959,12.81
254.144,18.81
255.1469,12.84
271.1162,207.8
273.1613,20.92
274.1313,25.64
299.1489,15.81
310.2035,25.21
311.2195,20.05
326.127,12.81
332.1558,16.61
339.2012,15
343.1917,12.86
359.1996,15
365.2311,24.61
369.1943,17.77
381.1963,12.86
389.1972,12.84
402.1763,15.05
407.1902,13.96
411.9082,13
412.2556,46.43
430.2081,13.67
431.1953,16
440.1976,19.09
454.1871,18.86
456.2313,15.81
463.8331,8.671
465.8405,12.86
466.2363,15.92
467.2594,18.81
472.2447,17
478.2551,20.05
482.3055,29.63
484.2496,241
484.5631,30
488.7262,13.1
490.2236,21.05
501.3104,19.61
503.2491,15.81
519.8166,24.14
531.2397,18.81
533.3049,12
540.2949,17
560.305,15.81
566.2684,12
567.3022,15
579.2826,15.86
583.2592,15.05
586.2791,27.05
587.3312,7.622
589.332,15.05
592.281,12
609.2986,12.16
617.3873,44.16
625.3809,15.81
632.3201,17
643.3434,15
661.379,15
671.3333,15.05
674.3511,27.05
688.3718,12.86
697.3411,12
725.3794,9.807
737.3828,21.81
749.3876,20
755.3707,21
765.4311,9
793.3504,17
793.4399,14.81
794.4463,25
801.4326,14
804.4102,15
811.4128,18.81
820.3895,9.836
824.2244,12.81
899.4855,14.02
905.4145,6
908.55,6
909.4612,14.81
919.4788,6.807
923.4589,20.86
925.5679,16.97
927.4747,6.807
934.4767,6
935.5811,6
949.48,6
962.5945,35.81
963.5934,15.12
970.5226,6
976.421,6
1021.5213,6
1076.6216,18
1136.6543,31.1
1231.7021,18.86
1234.7482,97
237.104,4
240.2404,3
240.4562,3
242.8687,3
243.0874,3.74
281.1732,16
327.1592,3.279
367.7912,4
441.8054,4
459.4034,3
459.8067,3
477.2548,3.269
493.3282,3.269
494.6743,5
495.2066,12.29
496.1755,2.322
497.9356,9.816
499.2752,6.386
741.5119,2
893.6116,2
964.6307,10.27
967.6896,352
968.2737,3.538
968.703,7.807
969.0081,2.269
983.4236,4.637
986.5137,24.28
992.1359,6.053
996.0744,8.62
999.4865,3.391
125.0822,2.269
155.0838,2
235.2027,2
237.1142,6
243.2119,3
281.1685,16
282.1724,2.326
311.1234,2
441.7949,4
460.3306,3.018
477.3635,5.269
493.7673,18
494.6352,4
496.2191,5.538
497.0473,9.305
498.533,3.269
523.7402,2.269
917.6662,3.368
967.6846,221
968.702,5.018
970.8853,2
989.2213,18.54
997.3832,6.287
999.1926,3.018
115.0871,29
129.1018,15
130.0895,12.54
143.081,29.54
145.0977,19
147.1151,10
157.1194,10.56
173.0962,31
175.1117,19
187.1092,12.54
201.1253,10.04
219.1235,10.57
221.1177,12.54
226.1277,27.57
242.1217,14
244.1109,18.04
244.1665,55.6
245.1678,6.268
255.1339,11.08
260.1319,12.04
261.1407,10.54
272.1584,11
273.1044,11.13
278.1529,11.11
285.1257,14.54
297.159,16.54
301.153,10.56
345.2114,34.54
355.2088,14.07
367.1552,15.08
403.2091,19.08
425.1952,14.56
428.2534,12.57
430.2083,14.08
444.2619,12.07
451.2254,14.04
457.2461,18.04
460.244,20.61
469.2432,12.74
475.2566,13.59
484.2401,17
498.5918,96
560.2802,16.04
583.2598,10.54
596.2717,16.39
602.3251,17
606.2821,18
618.3242,15.88
630.3138,20.11
641.3079,16.11
645.3311,18.61
653.2932,16.04
663.3124,18.61
667.3029,24.04
676.3345,15.58
677.3415,17.52
690.3527,15.63
700.3788,22.79
707.3592,14.54
716.3741,22
722.3307,11.49
726.362,14.57
738.3593,29.18
742.3622,14
745.3638,14.54
747.3555,16.54
750.341,23.1
754.3235,14
761.3918,29.7
769.3775,16.54
777.3442,14.59
777.3866,20.57
778.4161,13.05
781.3825,16.54
795.3474,13.27
796.3638,24.57
797.3812,9.823
809.4114,17.12
809.4211,12.57
818.3535,14
823.3946,27.08
837.4081,14.04
851.4056,14
878.431,12
889.4838,14.54
907.4625,10
908.4634,21.15
910.4342,36
926.4488,16
936.416,8.538
945.5067,11.29
954.4617,18.54
964.4819,10
971.5648,19
979.4727,11.54
979.4757,24
981.4872,14.54
989.5098,40.61
997.4888,58.54
997.5471,15.67
1005.5143,20.61
1008.4919,8.557
1025.4895,23
1069.4967,8.538
1082.5288,10
1098.5348,17.04
1108.505,12.54
1109.5568,29.05
1110.5586,18.04
1126.537,27.54
1179.5776,8
1180.603,18.07
1197.5883,10
1197.6116,80.52
1241.5977,9.076
1249.6602,20.11
1268.6437,65.07
1323.5555,11.81
1369.6886,205
1440.7417,25.04
1476.7108,18.54
1510.7921,601
129.1036,19
147.1125,25
157.1301,25
199.1874,31
248.1406,25.67
288.158,31.61
299.1592,25.11
